11,8,Index_73,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site73_X_224_Y_157_1981_2021.csv
13,8,Index_74,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site74_X_250_Y_157_1981_2021.csv
14,8,Index_75,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site75_X_277_Y_157_1981_2021.csv
16,8,Index_76,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site76_X_304_Y_157_1981_2021.csv
17,8,Index_77,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site77_X_330_Y_157_1981_2021.csv
0,9,Index_78,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site78_X_10_Y_184_1981_2021.csv
1,9,Index_79,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site79_X_37_Y_184_1981_2021.csv
3,9,Index_80,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site80_X_64_Y_184_1981_2021.csv
4,9,Index_81,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site81_X_90_Y_184_1981_2021.csv
6,9,Index_82,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site82_X_117_Y_184_1981_2021.csv
7,9,Index_83,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site83_X_144_Y_184_1981_2021.csv
8,9,Index_84,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site84_X_170_Y_184_1981_2021.csv
10,9,Index_85,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site85_X_197_Y_184_1981_2021.csv
11,9,Index_86,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site86_X_224_Y_184_1981_2021.csv
13,9,Index_87,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site87_X_250_Y_184_1981_2021.csv
14,9,Index_88,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site88_X_277_Y_184_1981_2021.csv
16,9,Index_89,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site89_X_304_Y_184_1981_2021.csv
17,9,Index_90,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site90_X_330_Y_184_1981_2021.csv
0,11,Index_91,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site91_X_10_Y_210_1981_2021.csv
1,11,Index_92,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site92_X_37_Y_210_1981_2021.csv
3,11,Index_93,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site93_X_64_Y_210_1981_2021.csv
4,11,Index_94,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site94_X_90_Y_210_1981_2021.csv
6,11,Index_95,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site95_X_117_Y_210_1981_2021.csv
7,11,Index_96,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site96_X_144_Y_210_1981_2021.csv
8,11,Index_97,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site97_X_170_Y_210_1981_2021.csv
10,11,Index_98,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site98_X_197_Y_210_1981_2021.csv
11,11,Index_99,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site99_X_224_Y_210_1981_2021.csv
13,11,Index_100,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site100_X_250_Y_210_1981_2021.csv
14,11,Index_101,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site101_X_277_Y_210_1981_2021.csv
16,11,Index_102,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site102_X_304_Y_210_1981_2021.csv
17,11,Index_103,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site103_X_330_Y_210_1981_2021.csv
0,12,Index_104,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site104_X_10_Y_237_1981_2021.csv
1,12,Index_105,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site105_X_37_Y_237_1981_2021.csv
3,12,Index_106,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site106_X_64_Y_237_1981_2021.csv
4,12,Index_107,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site107_X_90_Y_237_1981_2021.csv
6,12,Index_108,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site108_X_117_Y_237_1981_2021.csv
7,12,Index_109,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site109_X_144_Y_237_1981_2021.csv
8,12,Index_110,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site110_X_170_Y_237_1981_2021.csv
10,12,Index_111,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site111_X_197_Y_237_1981_2021.csv
11,12,Index_112,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site112_X_224_Y_237_1981_2021.csv
13,12,Index_113,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site113_X_250_Y_237_1981_2021.csv
14,12,Index_114,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site114_X_277_Y_237_1981_2021.csv
16,12,Index_115,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site115_X_304_Y_237_1981_2021.csv
17,12,Index_116,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site116_X_330_Y_237_1981_2021.csv
0,13,Index_117,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site117_X_10_Y_264_1981_2021.csv
1,13,Index_118,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site118_X_37_Y_264_1981_2021.csv
3,13,Index_119,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site119_X_64_Y_264_1981_2021.csv
4,13,Index_120,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site120_X_90_Y_264_1981_2021.csv
6,13,Index_121,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site121_X_117_Y_264_1981_2021.csv
7,13,Index_122,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site122_X_144_Y_264_1981_2021.csv
8,13,Index_123,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site123_X_170_Y_264_1981_2021.csv
10,13,Index_124,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site124_X_197_Y_264_1981_2021.csv
11,13,Index_125,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site125_X_224_Y_264_1981_2021.csv
13,13,Index_126,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site126_X_250_Y_264_1981_2021.csv
14,13,Index_127,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site127_X_277_Y_264_1981_2021.csv
16,13,Index_128,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site128_X_304_Y_264_1981_2021.csv
17,13,Index_129,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site129_X_330_Y_264_1981_2021.csv
0,15,Index_130,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site130_X_10_Y_290_1981_2021.csv
1,15,Index_131,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site131_X_37_Y_290_1981_2021.csv
3,15,Index_132,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site132_X_64_Y_290_1981_2021.csv
4,15,Index_133,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site133_X_90_Y_290_1981_2021.csv
6,15,Index_134,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site134_X_117_Y_290_1981_2021.csv
7,15,Index_135,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site135_X_144_Y_290_1981_2021.csv
8,15,Index_136,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site136_X_170_Y_290_1981_2021.csv
10,15,Index_137,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site137_X_197_Y_290_1981_2021.csv
11,15,Index_138,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site138_X_224_Y_290_1981_2021.csv
13,15,Index_139,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site139_X_250_Y_290_1981_2021.csv
14,15,Index_140,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site140_X_277_Y_290_1981_2021.csv
16,15,Index_141,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site141_X_304_Y_290_1981_2021.csv
